الجهاز,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
سطح المكتب,27,20191,0.13%,56.17
الهاتف الجوال,22,12230,0.18%,15.35
جهاز لوحي,0,179,0%,25.16
