# ----------------------------------------
# thetaxcalc
# اكتساب الزيارات: مجموعة القنوات الأساسية المرتبطة بالجلسة (مجموعة القنوات التلقائية)-علامة التبويب 3
# 20260607-20260704
# ----------------------------------------

مجموعة القنوات الأساسية المرتبطة بالجلسة (مجموعة القنوات التلقائية),الجلسات,الجلسات المتفاعلة,نسبة المشاركة,متوسط مدة التفاعل لكل جلسة,الأحداث في كل جلسة,عدد الأحداث,الأحداث المهمة,معدّل الأحداث الرئيسية في الجلسة,إجمالي الأرباح
,382,95,0.2486910994764398,10.795811518324607,3.4607329842931938,1322,0,0,0,الإجمالي الكلي
Direct,214,48,0.22429906542056074,5.135514018691588,3.3598130841121496,719,0,0,0
Organic Search,148,40,0.2702702702702703,19.533783783783782,3.5878378378378377,531,0,0,0
Referral,12,4,0.3333333333333333,3.5833333333333335,4.166666666666667,50,0,0,0
Organic Social,3,1,0.3333333333333333,1,2.6666666666666665,8,0,0,0
Unassigned,3,1,0.3333333333333333,16,3.3333333333333335,10,0,0,0
AI Assistant,1,1,1,40,4,4,0,0,0

