name,ttl,type,value
"thetaxcalc.com","3600","NETLIFY","spontaneous-cascaron-6a8fd1.netlify.app"
"www.thetaxcalc.com","3600","NETLIFY","spontaneous-cascaron-6a8fd1.netlify.app"
